degree|city|sports
0|Unknown|Tennis
0|Unknown|Tennis
0|Sainte-Thérèse|Pickleball+Tennis
0|Montréal|Pickleball
0|Unknown|Tennis
0|Laval|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Pickleball
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Montréal|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Pickleball
0|Montréal|Tennis
0|Montreal|Pickleball
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Tennis
0|Unknown|Pickleball+Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Saint-Bruno-de-Montarville|Tennis
1|Repentigny|Pickleball
1|Unknown|Pickleball+Tennis
1|Unknown|Tennis
1|Unknown|Pickleball
1|Unknown|Pickleball+Tennis
1|Unknown|Pickleball
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Pickleball+Tennis
1|Montréal|Pickleball+Tennis
1|Montréal|Pickleball
1|Unknown|Pickleball
1|Unknown|Tennis
1|Unknown|Pickleball
1|Unknown|Tennis
1|Unknown|Pickleball+Tennis
1|Montréal|Pickleball
1|Montréal|Pickleball
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Pickleball
1|Unknown|Pickleball+Tennis
1|Unknown|Pickleball
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Pickleball
1|Unknown|Tennis
1|Montréal|Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Unknown|Tennis
1|Laval|Tennis
1|Unknown|Pickleball
2|Unknown|Tennis
2|Unknown|Pickleball
2|Unknown|Tennis
2|Unknown|Tennis
2|Unknown|Pickleball
2|Montréal|Tennis
2|Unknown|Tennis
2|Unknown|Tennis
2|Laval|Tennis
2|Unknown|Pickleball
2|Unknown|Tennis
2|Unknown|Tennis
2|Unknown|Pickleball
2|Unknown|Tennis
2|Dollard-des-Ormeaux|Pickleball+Tennis
2|Unknown|Tennis
2|Unknown|Pickleball
2|Unknown|Tennis
2|Unknown|Pickleball+Tennis
2|Unknown|Tennis
2|Unknown|Tennis
2|Unknown|Pickleball+Tennis
3|Unknown|Pickleball
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Pickleball
3|Longueuil|Tennis
3|Unknown|Tennis
3|Laval|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Laval|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
3|Unknown|Tennis
4|Unknown|Pickleball+Tennis
4|Unknown|Tennis
4|Unknown|Tennis
4|Montréal|Tennis
4|Unknown|Pickleball+Tennis
4|Montréal|Tennis
4|Unknown|Tennis
4|Montréal|Pickleball+Tennis
4|Unknown|Pickleball
4|Montréal|Pickleball+Tennis
4|Unknown|Tennis
4|Laval|Tennis
4|Unknown|Tennis
4|Unknown|Pickleball
4|Unknown|Tennis
4|Unknown|Tennis
4|Unknown|Tennis
4|Unknown|Pickleball+Tennis
4|Unknown|Tennis
5|Unknown|Tennis
5|Unknown|Tennis
5|Unknown|Tennis
5|Montréal|Tennis
5|Unknown|Pickleball+Tennis
5|Unknown|Tennis
5|Unknown|Tennis
5|Montréal|Tennis
5|Unknown|Tennis
